"X","species","decimalLongitude","decimalLatitude","high_temp_C","low_temp_C","moisture_mm","northness","eastness","windward_exposure","mTPI","slope","aspect","macro_bio1_mean_annual_temp_C","macro_bio12_total_annual_precip_mm","macro_bio5_max_temp_warm_month_C","macro_bi06_min_temp_cold_month_C"
795875,"Pinus clausa",-80.476658,26.19352,31.7620296478271,14.7743406295776,1606.70043945312,-0.000634335039649159,0.000509707257151604,0.000627263798378408,0.0839946046471596,0.00081374600995332,2.46470308303833,23.8500003814697,1606.173828125,31.75,14.7582340240479
796898,"Pinus clausa",-80.468232,26.646101,31.1910839080811,15.1189889907837,1479.548828125,-0.0081550283357501,0.00266471155919135,0.00295996223576367,-0.776994526386261,0.00857945159077644,2.82577252388,23.6499996185303,1483.59191894531,31.1818542480469,15.0863046646118
795829,"Pinus clausa",-81.96335,26.990545,31.958459854126,12.4658050537109,1332.81030273438,-0.000512943021021783,0.00198643654584885,0.000886485038790852,-0.0288350023329258,0.00205159606412053,1.8234988451004,23.0499992370605,1333.05554199219,31.9500007629395,12.4499998092651
796304,"Pinus clausa",-81.891676,26.97337,31.96018409729,12.4522390365601,1335.28649902344,-3.76120151486248e-05,-0.0102641889825463,-0.00572913186624646,0.504102408885956,0.0102644385769963,4.70872449874878,23.0846424102783,1334.35803222656,31.9500007629395,12.4499998092651
796375,"Pinus clausa",-81.890031,26.973911,31.9313259124756,12.4225263595581,1338.55065917969,0.0133398277685046,-0.00367374788038433,0.0028371459338814,-0.0458758808672428,0.013836894184351,6.01445007324219,23.0934543609619,1334.26940917969,31.9500007629395,12.4499998092651
796563,"Pinus clausa",-81.653417,26.228027,30.9720115661621,14.4611101150513,1487.52490234375,0.0136549221351743,0.0193977374583483,0.0163766667246819,0.750908374786377,0.0237241387367249,0.957428276538849,23.5499992370605,1477.13342285156,30.9611167907715,14.4402418136597
796030,"Pinus clausa",-81.189,26.9565,31.8533115386963,13.1428565979004,1326.74792480469,0.00345212477259338,0.00316784693859518,0.00358236138708889,0.0331446640193462,0.0046853581443429,0.74248206615448,23.2750053405762,1325.19482421875,31.8500003814697,13.1333379745483
796017,"Pinus clausa",-80.827,27.304,31.3982963562012,13.7879810333252,1320.41259765625,0.00126784527674317,-0.0332609377801418,-0.0250013396143913,-0.62844055891037,0.0332912430167198,4.75048875808716,23.1499996185303,1325.72790527344,31.4222202301025,13.8499946594238
796009,"Pinus clausa",-80.8153,27.5456,31.8690567016602,12.3728847503662,1450.29931640625,-0.00369677296839654,-0.00147034437395632,-0.00173860986251384,0.280164480209351,0.00397845776751637,3.52014684677124,22.6499996185303,1450.72473144531,31.8500003814697,12.3500003814697
795570,"Pinus clausa",-80.905123,27.671472,31.7589321136475,12.0562324523926,1452.85375976562,0.0024846182204783,-0.00209542317315936,-0.000930596492253244,0.35786047577858,0.00325025571510196,5.58255958557129,22.5419940948486,1451.06372070312,31.75,12.0500001907349
795744,"Pinus clausa",-80.89,27.67,31.8646469116211,12.0661926269531,1462.21801757812,0.000957738608121872,0.000844753754790872,0.000771508144680411,0.404326558113098,0.00127705640625209,0.722797513008118,22.5499992370605,1460.33374023438,31.8500003814697,12.0500001907349
795935,"Pinus clausa",-80.920848,27.701526,31.7625598907471,12.0683870315552,1449.98889160156,0.00119793380144984,0.0036693059373647,0.00271424627862871,0.243994325399399,0.00385991274379194,1.25523161888123,22.4500007629395,1448.25366210938,31.75,12.0500001907349
796213,"Pinus clausa",-80.90525,27.671515,31.7594985961914,12.0531492233276,1450.86389160156,-0.000431398249929771,-0.00773461628705263,-0.00538633856922388,0.297172218561172,0.00774671509861946,4.65667152404785,22.5411052703857,1451.029296875,31.75,12.0500001907349
796276,"Pinus clausa",-80.891245,27.67279,31.8416137695312,12.0026578903198,1453.27966308594,-0.004655372351408,-0.0402527339756489,-0.0287465732544661,0.0512142218649387,0.0405321419239044,4.59724712371826,22.5499992370605,1460.43249511719,31.8500003814697,12.0500001907349
